2º,Física - Mecânica - PA,Engenharia Elétrica,NR01,4QUI,20:35,21:50,
2º,Linguagem de Programação,Engenharia Elétrica,NR01,2TER,19:00,20:15,
2º,Linguagem de Programação,Engenharia Elétrica,NR01,2TER,20:35,21:50,
2º,Geometria Analítica e Álgebra Linear,Engenharia Elétrica,NR01,3QUA,19:00,20:15,
2º,Geometria Analítica e Álgebra Linear,Engenharia Elétrica,NR01,3QUA,20:35,21:50,
2º,Cálculo II,Engenharia Elétrica,NR01,6SAB,07:15,08:30,
2º,Cálculo II,Engenharia Elétrica,NR01,6SAB,08:40,09:55,
2º,Sistemas Digitais,Engenharia Elétrica,NR01,1SEG,19:00,21:50,
2º,Sistemas Digitais,Engenharia Elétrica,NR01,1SEG,20:35,21:50,
2º,Desafios Contemporâneos,Engenharia Elétrica,NR01,5SEX,19:00,20:15,
3º,Expressão Gráfica,Engenharia Elétrica,MR01,3QUA,10:05,11:20,
3º,Expressão Gráfica,Engenharia Elétrica,MR01,3QUA,11:30,12:45,
3º,Cálculo III,Engenharia Elétrica,MR01,4QUI,7:15,8:30,
3º,Cálculo III,Engenharia Elétrica,MR01,4QUI,8:40,9:55,
3º,Física - Eletricidade,Engenharia Elétrica,MR01,5SEX,8:40,9:55,
3º,Física - Eletricidade - PA,Engenharia Elétrica,MR01,5SEX,7:15,8:30,
3º,Física - Eletricidade - PB,Engenharia Elétrica,MR01,5SEX,10:05,11:20,
3º,Mecânica dos Sólidos,Engenharia Elétrica,MR01,2TER,7:15,8:30,
3º,Mecânica dos Sólidos,Engenharia Elétrica,MR01,2TER,8:40,9:55,
3º,Probabilidade e Estatística,Engenharia Elétrica,MR01,3QUA,8:40,9:55,
3º,Expressão Gráfica,Engenharia Elétrica,NR01,1SEG,19:00,20:15,
3º,Expressão Gráfica,Engenharia Elétrica,NR01,1SEG,20:35,21:50,
3º,Cálculo III,Engenharia Elétrica,NR01,2TER,19:00,20:15,
3º,Cálculo III,Engenharia Elétrica,NR01,2TER,20:35,21:50,
3º,Física - Eletricidade,Engenharia Elétrica,NR01,3QUA,19:00,20:15,
3º,Física - Eletricidade - PA,Engenharia Elétrica,NR01,3QUA,20:35,21:50,
3º,Mecânica dos Sólidos,Engenharia Elétrica,NR01,4QUI,19:00,20:15,
3º,Mecânica dos Sólidos,Engenharia Elétrica,NR01,4QUI,20:35,21:50,
3º,Probabilidade e Estatística,Engenharia Elétrica,NR01,5SEX,20:35,21:50,
4º,Ciência e Tecnologia dos Materiais,Engenharia Elétrica,NR01,3QUA,19:00,20:15,
4º,Ciência e Tecnologia dos Materiais,Engenharia Elétrica,NR01,3QUA,20:35,21:50,
4º,Cálculo IV,Engenharia Elétrica,NR01,1SEG,17:30,18:45,
4º,Cálculo IV,Engenharia Elétrica,NR01,2TER,17:30,18:45,
4º,Circuitos Elétricos I,Engenharia Elétrica,NR01,1SEG,19:00,20:15,
4º,Circuitos Elétricos I,Engenharia Elétrica,NR01,1SEG,20:35,21:50,
4º,Fenômenos de Transporte I,Engenharia Elétrica,NR01,2TER,19:00,20:15,
4º,Fenômenos de Transporte I,Engenharia Elétrica,NR01,2TER,20:35,21:50,
4º,Conectividade de Sistemas Elétricos,Engenharia Elétrica,NR01,3QUA,17:30,18:45,
4º,Cálculo Numérico,Engenharia Elétrica,NR01,5SEX,19:00,20:15,
5º,Eletromagnetismo,Engenharia Elétrica,NR01,1SEG,19:00,20:15,
5º,Eletromagnetismo,Engenharia Elétrica,NR01,1SEG,20:35,21:50,
5º,Sinais e Sistemas,Engenharia Elétrica,NR01,3QUA,19:00,20:15,
5º,Sinais e Sistemas,Engenharia Elétrica,NR01,3QUA,20:35,21:50,
5º,Eletrônica Analógica,Engenharia Elétrica,NR01,4QUI,19:00,20:15,
5º,Eletrônica Analógica,Engenharia Elétrica,NR01,4QUI,20:35,21:50,
5º,Circuitos Elétricos II,Engenharia Elétrica,NR01,5SEX,19:00,20:15,
5º,Circuitos Elétricos II,Engenharia Elétrica,NR01,5SEX,20:35,21:50,
5º,Fenômenos de Transporte I,Engenharia Elétrica,NR01,2TER,19:00,20:15,
5º,Fenômenos de Transporte I,Engenharia Elétrica,NR01,2TER,20:35,21:50,
5º,Filosofia,Engenharia Elétrica,NR01,2TER,17:30,18:45,
6º,Redes Industriais,Engenharia Elétrica,NR01,4QUI,19:00,20:15,
6º,Redes Industriais,Engenharia Elétrica,NR01,4QUI,20:35,21:50,
6º,Controle I,Engenharia Elétrica,NR01,2TER,19:00,20:15,
6º,Controle I,Engenharia Elétrica,NR01,2TER,20:35,21:50,
6º,Conversão Eletromecânica de Energia,Engenharia Elétrica,NR01,5SEX,19:00,20:15,
6º,Conversão Eletromecânica de Energia,Engenharia Elétrica,NR01,5SEX,20:35,21:50,
6º,Potencial Energético e Energias Renováveis,Engenharia Elétrica,NR01,3QUA,19:00,20:15,
6º,Potencial Energético e Energias Renováveis,Engenharia Elétrica,NR01,3QUA,20:35,21:50,
6º,Eletrônica de Potência,Engenharia Elétrica,NR01,1SEG,19:00,20:15,
6º,Eletrônica de Potência,Engenharia Elétrica,NR01,1SEG,20:35,21:50,
6º,Psicologia e Comportamento,Engenharia Elétrica,NR01,1SEG,17:30,18:45,
7º,Geração de Energia Elétrica,Engenharia Elétrica,NR01,1SEG,19:00,20:15,
7º,Geração de Energia Elétrica,Engenharia Elétrica,NR01,1SEG,20:35,21:50,
7º,Máquinas Elétricas,Engenharia Elétrica,NR01,4QUI,19:00,20:15,
7º,Máquinas Elétricas,Engenharia Elétrica,NR01,4QUI,20:35,21:50,
7º,Sistemas de Potência I,Engenharia Elétrica,NR01,2TER,19:00,20:15,
7º,Sistemas de Potência I,Engenharia Elétrica,NR01,2TER,20:35,21:50,
7º,Controle II ,Engenharia Elétrica,NR01,5SEX,19:00,20:15,
7º,Controle II ,Engenharia Elétrica,NR01,5SEX,20:35,21:50,
7º,Empreendedorismo                                                                          ,Engenharia Elétrica,NR01,3QUA,19:00,20:15,
7º,Arte e Cultura,Engenharia Elétrica,NR01,3QUA,20:35,21:50,
8º,Expressão Gráfica e Projetos Elétricos,Engenharia Elétrica,NR01,5SEX,19:00,20:15,
8º,Expressão Gráfica e Projetos Elétricos,Engenharia Elétrica,NR01,5SEX,20:35,21:50,
8º,Sistemas de Potência II ,Engenharia Elétrica,NR01,4QUI,19:00,20:15,
8º,Sistemas de Potência II ,Engenharia Elétrica,NR01,4QUI,20:35,21:50,
8º,Tecnologia dos Equipamentos Elétricos,Engenharia Elétrica,NR01,2TER,19:00,20:15,
8º,Tecnologia dos Equipamentos Elétricos,Engenharia Elétrica,NR01,2TER,20:35,21:50,
